patient_row,repeat_1_outer_fold,repeat_2_outer_fold,repeat_3_outer_fold,repeat_4_outer_fold,repeat_5_outer_fold
1143,1,1,0,3,1
1144,2,3,4,3,2
1145,3,0,4,0,4
1146,3,2,4,0,1
1147,2,0,2,1,4
1148,0,4,3,1,4
1149,1,4,3,2,0
1150,0,1,0,0,2
1151,1,3,3,2,0
1152,1,2,2,2,2
1153,3,0,2,2,0
1154,3,0,2,0,0
1155,1,3,1,0,3
1156,4,1,4,1,1
1157,2,4,1,3,0
1158,2,4,2,0,1
1159,3,0,1,4,3
1160,4,1,3,2,2
1161,2,0,2,2,2
1162,4,2,0,1,2
1163,0,4,1,0,1
1164,2,3,1,1,0
1165,1,0,0,0,0
1166,0,4,4,4,2
1167,0,1,2,0,3
1168,2,3,0,4,0
1169,2,1,2,1,4
1170,4,4,1,0,0
1171,4,0,4,0,2
1172,1,1,1,3,0
1173,3,4,0,0,1
1174,3,0,3,2,4
1175,4,0,2,2,2
1176,3,3,4,4,1
1177,1,0,3,3,4
1178,0,3,0,0,2
1179,1,1,3,4,0
1180,3,2,2,1,4
1181,3,2,0,3,2
1182,1,4,3,1,0
1183,2,2,2,4,1
1184,1,3,1,2,1
1185,3,0,0,2,3
1186,0,4,4,3,4
1187,3,3,4,0,2
1188,0,3,0,2,2
1189,1,1,0,0,2
1190,2,1,0,2,2
1191,2,4,2,2,0
1192,4,2,4,4,1
1193,1,0,4,3,0
1194,2,3,1,0,4
1195,3,2,4,2,1
1196,0,0,4,2,0
1197,2,1,2,1,3
1198,0,3,0,4,3
1199,1,1,3,2,2
1200,1,2,3,1,1
1201,2,2,4,4,1
1202,1,0,3,0,0
1203,2,3,0,3,2
1204,4,2,4,2,0
1205,3,3,0,0,1
1206,1,2,4,0,0
1207,2,1,4,2,3
1208,2,0,0,3,2
1209,1,1,1,4,4
1210,3,4,4,1,4
1211,4,4,0,3,4
1212,2,4,1,3,3
1213,2,2,4,2,0
1214,4,1,3,3,2
1215,0,3,2,4,1
1216,0,0,2,0,1
1217,4,2,4,0,3
1218,2,4,4,2,0
1219,2,3,2,0,4
1220,2,2,3,2,3
1221,3,3,3,4,3
1222,0,4,0,1,1
1223,1,4,4,3,1
1224,0,3,3,1,2
1225,2,1,3,2,0
1226,0,4,0,0,1
1227,3,3,0,3,3
1228,0,2,0,3,1
1229,4,0,2,4,2
1230,0,2,3,3,1
1231,4,4,1,2,1
1232,0,1,0,1,0
1233,3,0,3,1,0
1234,2,1,3,4,4
1235,4,3,2,2,2
1236,2,2,4,2,4
1237,4,3,0,2,1
1238,1,1,0,1,1
1239,2,4,0,0,2
1240,1,4,1,3,2
1241,0,1,1,2,3
1242,2,4,3,3,2
1243,2,4,1,0,3
1244,0,3,2,0,4
1245,2,3,1,2,0
1246,3,2,3,4,2
1247,0,2,2,4,1
1248,1,2,2,2,1
1249,2,4,4,2,0
1250,1,2,0,4,2
1251,0,3,4,1,1
1252,4,3,2,3,3
1253,3,0,3,1,1
1254,2,4,4,4,2
1255,1,2,1,4,4
1256,3,3,1,4,3
1257,2,3,3,1,3
1258,1,2,2,3,4
1259,1,1,3,4,2
1260,2,0,0,2,1
1261,1,3,1,0,1
1262,2,4,0,1,1
1263,1,3,3,4,1
1264,4,2,0,2,0
1265,0,3,0,1,2
1266,1,4,1,3,0
1267,1,1,3,1,1
1268,1,0,4,1,0
1269,1,3,1,3,0
1270,4,3,0,0,4
1271,4,3,3,3,4
1272,1,0,0,0,1
1273,2,4,2,2,0
1274,1,1,3,3,4
1275,0,1,0,0,4
1276,2,3,4,0,0
1277,0,3,4,1,4
1278,0,4,4,1,1
1279,4,0,0,1,0
1280,3,4,1,0,2
1281,2,0,4,4,2
1282,0,2,3,0,4
1283,4,1,2,1,4
1284,1,0,1,4,3
1285,0,0,3,0,2
1286,0,0,2,0,1
1287,2,4,3,0,2
1288,4,3,0,2,2
1289,0,4,4,2,4
1290,3,2,3,3,4
1291,2,0,4,4,1
1292,2,3,4,2,1
1293,3,3,3,3,4
1294,1,4,0,3,4
1295,2,0,4,1,1
1296,1,0,2,1,1
1297,0,2,2,4,4
1298,0,0,0,0,0
1299,2,0,1,0,2
1300,2,0,4,4,4
1301,2,2,4,4,3
1302,0,3,1,4,1
1303,4,4,2,1,3
1304,4,1,2,0,3
1305,1,0,2,0,2
1306,0,3,4,0,3
1307,1,2,1,1,2
1308,1,0,3,4,1
1309,0,4,3,1,2
1310,3,2,2,3,2
1311,1,3,4,3,3
1312,4,0,0,3,4
1313,3,1,0,4,2
1314,0,4,2,3,2
1315,0,2,4,4,4
1316,1,0,1,1,0
1317,4,0,1,2,0
1318,3,3,1,3,3
1319,2,0,1,2,3
1320,0,3,3,0,3
1321,3,4,4,0,4
1322,0,3,4,3,3
1323,2,0,4,0,4
1324,2,2,0,2,4
1325,0,0,3,2,1
1326,4,3,3,1,3
1327,2,4,4,4,3
1328,3,4,3,3,1
1329,2,1,3,0,2
1330,0,0,4,3,0
1331,4,1,0,2,2
1332,4,1,0,3,0
1333,2,4,2,2,2
1334,4,2,1,1,2
1335,2,1,4,2,2
1336,3,4,0,0,4
1337,0,4,0,0,0
1338,3,4,0,3,0
1339,4,0,0,4,3
1340,1,0,2,3,4
1341,2,2,1,0,2
1342,4,0,0,2,3
1343,3,0,4,2,3
1344,0,2,4,4,0
1345,0,4,2,4,2
1346,4,1,0,1,3
1347,2,0,4,3,1
1348,1,0,0,4,4
1349,1,4,4,3,4
1350,1,0,4,1,0
1351,2,1,3,0,4
1352,3,2,0,3,0
1353,4,3,1,1,3
1354,2,3,1,4,4
1355,0,3,2,2,4
1356,3,1,0,1,3
1357,1,4,0,1,1
1358,4,2,0,1,2
1359,1,2,3,3,1
1360,1,2,4,1,3
1361,4,0,4,1,1
1362,4,2,2,0,3
1363,4,0,0,4,2
1364,0,0,1,3,4
1365,0,1,1,0,0
1366,1,2,0,3,0
1367,2,1,4,4,1
1368,3,1,2,1,0
1369,3,2,2,0,2
1370,2,3,3,2,4
1371,2,1,3,2,0
1372,2,4,3,2,3
1373,4,2,1,3,4
1374,0,3,1,1,3
1375,1,3,0,4,1
1376,0,1,3,2,2
1377,2,1,4,0,2
1378,2,3,0,4,1
1379,0,1,1,0,1
1380,1,2,1,4,2
1381,4,2,1,4,1
1382,2,3,4,3,2
1383,1,1,2,2,4
1384,2,3,1,2,2
1385,4,3,4,2,1
1386,0,4,4,2,3
1387,1,4,3,0,0
1388,4,1,1,1,0
1389,4,2,2,4,4
1390,2,2,2,1,4
1391,4,4,0,1,0
1392,1,0,2,0,2
1393,1,3,3,0,3
1394,1,3,3,4,2
1395,3,1,2,1,4
1396,0,4,2,4,2
1397,0,3,3,1,3
1398,3,2,2,3,1
1399,1,0,2,4,1
1400,1,1,1,1,3
1401,2,2,0,1,4
1402,1,1,2,3,1
1403,3,2,1,1,3
1404,2,0,1,3,4
1405,3,1,4,1,4
1406,3,1,2,2,2
1407,0,2,0,0,1
1408,3,2,1,2,2
1409,1,3,0,0,0
1410,2,2,4,2,4
1411,3,4,0,2,0
1412,3,3,4,3,2
1413,4,3,3,4,0
1414,0,4,4,1,2
1415,2,2,3,3,0
1416,2,0,2,3,2
1417,2,0,0,1,1
1418,3,3,2,1,1
1419,0,1,4,4,3
1420,0,0,1,1,0
1421,3,0,3,4,0
1422,3,3,4,3,2
1423,1,2,2,2,0
1424,4,0,4,4,3
1425,0,2,4,1,4
1426,3,3,0,3,0
1427,1,0,4,3,0
1428,0,3,3,2,3
1429,3,2,0,1,2
1430,1,1,3,2,2
1431,4,2,1,0,2
1432,1,1,4,1,3
1433,3,3,4,0,1
1434,3,4,2,4,0
1435,2,2,3,2,4
1436,0,4,3,2,1
1437,1,3,2,3,3
1438,2,3,2,1,0
1439,0,2,3,3,2
1440,4,3,0,4,1
1441,2,1,1,3,2
1442,2,0,0,1,2
1443,4,1,3,2,3
1444,0,3,4,4,4
1445,2,3,4,4,1
1446,1,4,4,0,3
1447,4,3,0,3,2
1448,1,4,2,2,2
1449,0,2,0,2,0
1450,4,0,1,1,4
1451,4,1,4,1,1
1452,4,1,1,1,3
1453,3,2,2,2,1
1454,3,4,4,2,1
1455,1,3,4,3,1
1456,3,1,2,4,3
1457,4,1,3,2,1
1458,3,3,2,4,0
1459,2,4,1,2,2
1460,2,3,3,4,4
1461,2,0,1,0,3
1462,4,4,4,3,4
1463,1,3,1,3,4
1464,2,4,1,3,1
1465,3,0,2,3,0
1466,0,0,3,1,0
1467,4,2,1,2,4
1468,1,3,4,2,1
1469,4,3,2,4,0
1470,4,4,2,4,3
1471,3,0,0,1,1
1472,2,0,2,1,3
1473,3,4,3,0,0
1474,1,4,3,0,3
1475,3,2,3,1,3
1476,1,0,4,4,3
1477,2,4,1,0,3
1478,2,2,1,2,2
1479,0,1,2,2,2
1480,1,2,4,4,4
1481,0,4,0,1,1
1482,2,1,2,1,0
1483,3,2,2,4,4
1484,4,1,2,0,4
1485,4,4,4,0,3
1486,2,0,0,2,3
1487,2,0,0,2,4
1488,3,1,0,4,2
1489,3,2,4,1,1
1490,4,0,3,0,1
1491,0,0,4,2,4
1492,2,3,1,2,3
1493,1,2,1,4,2
1494,0,2,4,3,1
1495,2,2,2,4,3
1496,0,1,0,2,4
1497,3,1,0,3,0
1498,2,0,2,3,4
1499,4,2,2,0,0
1500,0,4,4,4,3
1501,3,4,0,1,1
1502,2,0,1,2,2
1503,0,0,0,0,2
1504,1,2,2,3,4
1505,2,0,2,1,1
1506,2,1,2,4,2
1507,2,2,2,3,2
1508,4,4,0,3,0
1509,3,2,4,1,3
1510,1,0,0,2,4
1511,0,4,3,4,3
1512,0,2,3,3,2
1513,2,2,1,4,0
1514,2,3,3,3,3
1515,4,3,4,4,4
1516,3,1,0,3,1
1517,4,1,2,0,3
1518,2,1,1,3,0
1519,1,0,1,1,1
1520,3,0,1,1,0
1521,0,4,3,0,1
1522,4,3,3,4,1
1523,0,4,4,0,4
1524,3,3,0,1,4
1525,2,2,1,1,0
1526,0,2,1,0,2
1527,0,3,2,4,2
1528,0,4,3,1,3
1529,4,2,1,1,1
1530,3,0,3,0,4
1531,0,0,0,3,4
1532,3,4,3,2,4
1533,3,2,3,0,4
1534,2,0,1,2,3
1535,0,4,1,4,3
1536,0,1,1,2,2
1537,3,3,3,1,1
1538,3,1,4,0,0
1539,4,4,0,1,0
1540,4,0,3,2,1
1541,4,3,0,4,4
1542,4,4,1,0,4
1543,4,4,4,2,4
1544,0,1,0,4,4
1545,4,1,4,4,0
1546,0,1,1,2,2
1547,2,4,0,1,2
1548,3,1,2,4,2
1549,2,1,1,2,1
1550,3,4,4,0,1
1551,2,4,0,3,3
1552,0,0,4,1,2
1553,1,1,4,2,3
1554,1,1,3,0,2
1555,3,1,2,1,2
1556,0,2,0,4,3
1557,0,2,2,0,3
1558,4,3,3,2,0
1559,3,3,4,0,4
1560,1,3,2,1,3
1561,1,2,2,1,3
1562,1,3,3,4,1
1563,1,1,4,0,2
1564,2,2,2,3,1
1565,3,0,4,3,4
1566,4,2,1,0,3
1567,1,4,2,0,0
1568,1,3,2,3,2
1569,4,4,2,3,2
1570,3,1,3,2,0
1571,2,3,0,4,4
1572,1,2,3,0,1
1573,2,4,3,4,2
1574,2,1,3,4,2
1575,3,0,2,3,0
1576,3,1,1,0,3
1577,4,2,4,2,1
1578,3,0,1,3,0
1579,0,0,0,4,3
1580,2,1,4,0,1
1581,1,4,3,2,1
1582,3,4,0,1,0
1583,0,1,4,3,3
1584,3,3,0,3,4
1585,0,4,1,0,0
1586,2,2,0,1,1
1587,1,3,1,3,2
1588,4,1,0,1,4
1589,1,4,0,3,3
1590,1,2,4,4,1
1591,1,4,2,2,1
1592,0,2,4,2,4
1593,0,3,4,2,1
1594,4,3,3,4,0
1595,1,2,2,3,1
1596,4,0,1,4,0
1597,1,1,2,3,4
1598,0,0,3,4,0
1599,4,4,2,4,2
1600,3,0,0,0,0
1601,0,4,4,1,1
1602,1,1,3,4,4
1603,2,3,4,1,4
1604,2,1,2,4,2
1605,1,0,2,1,3
1606,0,2,1,4,4
1607,4,4,1,3,0
1608,2,4,1,0,1
1609,4,2,1,4,2
1610,4,2,2,4,3
1611,1,0,2,0,0
1612,2,2,1,4,4
1613,0,2,0,1,1
1614,2,0,1,0,1
1615,0,0,2,1,2
1616,1,2,0,2,0
1617,4,2,3,0,4
1618,1,2,3,0,4
1619,4,2,3,0,3
1620,3,0,1,2,0
1621,1,3,2,3,0
1622,2,1,4,4,1
1623,1,3,3,1,1
1624,1,3,2,1,4
1625,2,0,2,1,3
1626,4,3,0,3,3
1627,4,2,3,3,3
1628,0,0,2,0,0
1629,0,1,1,1,0
1630,4,4,3,0,4
1631,1,4,4,1,4
1632,0,1,1,0,0
1633,4,0,3,2,1
1634,3,4,0,1,3
1635,2,1,2,4,1
1636,0,2,0,3,4
1637,2,4,0,0,4
1638,3,1,0,0,2
1639,3,3,1,3,2
1640,2,0,4,2,4
1641,4,3,4,3,3
1642,3,0,1,1,0
1643,4,0,2,2,0
1644,4,3,4,3,0
1645,3,1,2,2,0
1646,1,0,4,3,1
1647,0,2,1,4,4
1648,2,0,3,3,2
1649,3,3,3,1,0
1650,1,0,0,2,3
1651,2,0,0,2,2
1652,4,1,3,2,1
1653,0,0,4,4,1
1654,4,2,0,0,4
1655,3,1,1,0,1
1656,0,2,3,1,3
1657,0,0,2,3,0
1658,3,0,1,1,0
1659,1,3,3,0,3
1660,4,4,3,0,0
1661,3,4,0,3,3
1662,1,4,3,0,2
1663,2,2,2,2,0
1664,2,4,3,3,2
1665,0,3,1,0,4
1666,3,3,3,2,0
1667,2,3,1,0,2
1668,2,3,1,1,0
1669,3,3,2,3,2
1670,0,0,0,3,1
1671,1,3,4,2,2
1672,4,1,4,3,2
1673,3,4,1,0,2
1674,0,4,4,3,1
1675,1,3,1,0,3
1676,1,0,1,4,0
1677,0,4,4,2,4
1678,3,1,1,3,2
1679,1,3,0,2,0
1680,2,1,4,1,3
1681,1,3,2,1,4
1682,3,0,4,4,1
1683,2,1,2,3,2
1684,4,3,4,1,2
1685,1,1,1,0,4
1686,1,1,0,2,3
1687,2,1,0,2,2
1688,1,2,3,0,2
1689,4,1,4,2,3
1690,4,2,0,1,2
1691,0,4,0,4,4
1692,4,1,4,1,4
1693,1,3,4,4,0
1694,0,2,0,1,4
1695,2,0,3,2,0
1696,3,1,3,4,1
1697,0,2,1,3,3
1698,3,4,0,1,3
1699,0,4,0,4,1
